generation,MSE,time,run_id
1,13.52677,0.52296,0
2,12.33794,0.5590952,0
3,12.33794,0.6003321,0
4,12.33794,0.6398473,0
5,12.33794,0.6833677,0
6,12.33794,0.7222839,0
7,12.33794,0.7780678,0
8,12.32584,0.8453543,0
9,12.32584,0.913964,0
10,12.32584,0.9821251,0
11,11.78558,1.019149,0
12,10.89699,1.052631,0
13,9.797482,1.087578,0
14,9.624939,1.121275,0
15,9.624939,1.156317,0
16,9.624939,1.216632,0
17,9.533712,1.300656,0
18,9.065586,1.348638,0
19,9.065586,1.433655,0
20,9.065586,1.4694,0
21,9.065586,1.507858,0
22,9.065586,1.545582,0
23,9.065586,1.5865,0
24,9.065586,1.62772,0
25,9.065586,1.667979,0
26,9.065586,1.702822,0
27,9.065586,1.74228,0
28,9.065586,1.803172,0
29,9.065586,1.865773,0
30,9.065586,1.928641,0
31,9.065586,1.975722,0
32,9.065586,2.016263,0
33,9.065586,2.060366,0
34,9.065586,2.104211,0
35,9.065586,2.151747,0
36,9.024506,2.197893,0
37,9.024506,2.239461,0
38,9.024506,2.293772,0
39,9.024506,2.374268,0
40,9.024506,2.438808,0
41,9.024506,2.493842,0
42,9.024506,2.532874,0
43,9.024506,2.572541,0
44,9.024506,2.626721,0
45,9.024506,2.669646,0
46,9.024506,2.720587,0
47,8.864949,2.787987,0
48,8.864949,2.826433,0
49,8.864949,2.867141,0
50,8.864949,2.904571,0
51,8.407323,2.949362,0
52,8.407323,2.997219,0
53,8.407323,3.04113,0
54,8.407323,3.101856,0
55,8.407323,3.148001,0
56,8.407323,3.204567,0
57,8.407323,3.255857,0
58,8.407323,3.294278,0
59,8.407323,3.348014,0
60,8.407323,3.402279,0
61,8.407323,3.437748,0
62,8.407323,3.472898,0
63,8.407323,3.518466,0
64,8.407323,3.563277,0
65,8.407323,3.613453,0
66,8.407323,3.657997,0
67,8.407323,3.703469,0
68,8.407323,3.759024,0
69,8.407323,3.820635,0
70,8.407323,3.860828,0
71,8.407323,3.896584,0
72,6.596793,3.977202,0
1,14.41496,0.5129907,1
2,13.19861,0.563055,1
3,13.19861,0.6001044,1
4,12.13766,0.6446588,1
5,11.78497,0.688376,1
6,11.78497,0.7286758,1
7,11.78497,0.7700674,1
8,11.50673,0.812472,1
9,11.46739,0.8550435,1
10,11.56683,0.8959416,1
11,11.53679,0.9426127,1
12,11.37991,0.9926468,1
13,10.68371,1.038363,1
14,10.65022,1.079944,1
15,10.65022,1.122964,1
16,10.65022,1.175806,1
17,9.851996,1.223903,1
18,9.851996,1.271454,1
19,9.851996,1.320887,1
20,9.851996,1.365947,1
21,9.851996,1.411237,1
22,9.851996,1.469935,1
23,9.851996,1.521669,1
24,9.851996,1.571193,1
25,9.851996,1.620328,1
26,9.851996,1.66298,1
27,9.851996,1.706551,1
28,9.851996,1.754879,1
29,9.851996,1.799939,1
30,9.851996,1.845659,1
31,9.851996,1.886505,1
32,9.851996,1.92764,1
33,9.851996,1.969926,1
34,9.851996,2.012596,1
35,9.851996,2.053883,1
36,9.851996,2.095596,1
37,9.851996,2.137204,1
38,9.851996,2.18381,1
39,9.185017,2.228975,1
40,9.185017,2.271248,1
41,9.185017,2.319666,1
42,9.185017,2.367192,1
43,9.185017,2.416439,1
44,9.185017,2.462595,1
45,9.185017,2.505116,1
46,9.185017,2.549544,1
47,8.976631,2.594594,1
48,8.976631,2.637828,1
49,8.976631,2.678019,1
50,8.976631,2.723906,1
51,8.878702,2.76817,1
52,8.845003,2.813856,1
53,8.845003,2.858044,1
54,8.845003,2.903565,1
55,8.593266,2.947418,1
56,8.593266,2.989823,1
57,8.593266,3.034857,1
58,8.593266,3.08461,1
59,8.593266,3.132993,1
60,8.593266,3.1757,1
61,8.593266,3.222463,1
62,8.593266,3.268002,1
63,8.590275,3.306825,1
64,8.585756,3.347248,1
65,8.585756,3.390315,1
66,8.353825,3.433386,1
67,8.353825,3.482454,1
68,8.353825,3.531967,1
69,8.353825,3.581474,1
70,8.353825,3.631998,1
71,8.324876,3.673511,1
72,6.811003,3.707937,1
1,11.87226,0.5018716,2
2,11.87226,0.5542351,2
3,11.87226,0.6058874,2
4,11.87226,0.6501243,2
5,11.87226,0.6909002,2
6,11.87226,0.7419909,2
7,11.87226,0.7913024,2
8,11.87226,0.8397944,2
9,11.49425,0.8882475,2
10,11.31402,0.9506753,2
11,11.05133,1.001019,2
12,11.05133,1.046343,2
13,10.93926,1.090029,2
14,10.93926,1.139099,2
15,10.93926,1.185655,2
16,10.93926,1.231169,2
17,10.93926,1.275834,2
18,10.93926,1.324172,2
19,10.93926,1.372841,2
20,10.93926,1.4277,2
21,10.93926,1.483569,2
22,10.93926,1.537376,2
23,10.93926,1.591005,2
24,10.91947,1.645162,2
25,10.81359,1.699264,2
26,10.39567,1.750302,2
27,10.39567,1.800448,2
28,10.39567,1.846345,2
29,10.39567,1.890843,2
30,10.39567,1.938011,2
31,10.30524,1.990881,2
32,9.969691,2.037929,2
33,9.969691,2.087676,2
34,9.969691,2.135265,2
35,9.969691,2.187736,2
36,9.969691,2.236191,2
37,9.969691,2.286917,2
38,9.969691,2.337176,2
39,9.605658,2.388022,2
40,9.43063,2.442736,2
41,9.48819,2.493319,2
42,9.605658,2.543215,2
43,9.41632,2.588463,2
44,9.458124,2.634673,2
45,9.439356,2.683851,2
46,9.078443,2.734029,2
47,9.078443,2.77972,2
48,9.078443,2.829582,2
49,9.078443,2.876358,2
50,9.078443,2.922386,2
51,9.078443,2.963675,2
52,9.078443,3.010257,2
53,9.078443,3.051954,2
54,9.078443,3.101301,2
55,9.078443,3.147858,2
56,9.078443,3.191849,2
57,9.078443,3.236787,2
58,9.078443,3.280103,2
59,9.078443,3.324248,2
60,9.078443,3.375093,2
61,9.078443,3.424836,2
62,9.078443,3.467187,2
63,9.078443,3.516169,2
64,9.078443,3.561768,2
65,9.078443,3.60852,2
66,9.078443,3.661551,2
67,9.078443,3.706907,2
68,9.078443,3.755594,2
69,9.078443,3.80644,2
70,9.078443,3.856202,2
71,9.078443,3.897409,2
72,7.036567,3.924175,2
1,14.97721,0.4749096,3
2,14.06563,0.5209208,3
3,13.96888,0.5684022,3
4,13.47418,0.6169716,3
5,13.02127,0.6607107,3
6,13.02127,0.705206,3
7,13.02127,0.7535199,3
8,11.98221,0.8023931,3
9,11.98221,0.8536063,3
10,11.98221,0.9021591,3
11,11.98221,0.9574524,3
12,11.98221,1.002274,3
13,11.98221,1.043991,3
14,11.98221,1.089005,3
15,11.91509,1.128491,3
16,12.00372,1.171379,3
17,10.42285,1.212483,3
18,10.42285,1.252979,3
19,10.42285,1.297541,3
20,10.42285,1.33961,3
21,10.42285,1.380223,3
22,10.42285,1.435322,3
23,10.38933,1.49801,3
24,10.52478,1.544299,3
25,10.52478,1.584152,3
26,10.50208,1.628733,3
27,10.52504,1.671878,3
28,10.46449,1.721555,3
29,10.52478,1.767522,3
30,10.50098,1.808498,3
31,10.36072,1.849207,3
32,10.36072,1.890161,3
33,10.27904,1.936284,3
34,10.27904,1.989899,3
35,10.03498,2.039731,3
36,9.787371,2.087446,3
37,9.787371,2.130442,3
38,9.787371,2.177224,3
39,9.787371,2.217241,3
40,9.787371,2.258625,3
41,9.787371,2.298259,3
42,9.787371,2.343475,3
43,9.787371,2.394091,3
44,9.787371,2.441993,3
45,9.787371,2.486565,3
46,9.787371,2.528544,3
47,9.787371,2.579843,3
48,9.787371,2.625121,3
49,9.787371,2.669832,3
50,9.787371,2.712016,3
51,9.709436,2.755017,3
52,9.621122,2.796371,3
53,8.989118,2.836048,3
54,8.989118,2.876253,3
55,8.989118,2.916639,3
56,8.989118,2.959497,3
57,8.989118,3.004499,3
58,8.989118,3.044735,3
59,8.989118,3.085287,3
60,8.989118,3.129409,3
61,8.989118,3.171306,3
62,8.989118,3.212412,3
63,8.989118,3.253612,3
64,8.989118,3.294417,3
65,8.989118,3.334791,3
66,8.989118,3.375278,3
67,8.989118,3.414749,3
68,8.989118,3.454311,3
69,8.989118,3.498733,3
70,8.989118,3.543258,3
71,8.989118,3.584361,3
72,7.0457,3.616867,3
1,14.19552,0.4891957,4
2,14.19552,0.5330994,4
3,12.96767,0.581788,4
4,12.68402,0.6311355,4
5,12.54411,0.681802,4
6,12.48183,0.7296685,4
7,12.48153,0.7861833,4
8,12.96763,0.8336102,4
9,12.62385,0.8819768,4
10,12.49745,0.9397706,4
11,12.64274,0.9825775,4
12,12.6693,1.033133,4
13,12.83999,1.076273,4
14,12.80301,1.116392,4
15,11.59831,1.159905,4
16,11.59831,1.204639,4
17,11.59831,1.252381,4
18,11.59469,1.296469,4
19,11.6056,1.346912,4
20,11.49692,1.395794,4
21,11.72067,1.443151,4
22,11.29478,1.488868,4
23,11.29478,1.529574,4
24,11.29478,1.569499,4
25,11.29478,1.610894,4
26,11.29478,1.65887,4
27,11.29478,1.706727,4
28,11.29478,1.753157,4
29,10.67711,1.793843,4
30,10.67711,1.838752,4
31,10.556,1.886197,4
32,10.556,1.93113,4
33,10.556,1.978598,4
34,10.556,2.02607,4
35,10.556,2.068826,4
36,10.46048,2.116923,4
37,10.50453,2.166058,4
38,10.45975,2.21047,4
39,10.46048,2.256796,4
40,10.45975,2.306893,4
41,10.29999,2.350562,4
42,10.29999,2.393951,4
43,10.29999,2.43395,4
44,10.29999,2.473867,4
45,10.29999,2.515131,4
46,10.04767,2.55566,4
47,10.04767,2.600458,4
48,10.04767,2.644608,4
49,10.04767,2.685786,4
50,10.04767,2.729722,4
51,10.04767,2.773999,4
52,10.04767,2.815293,4
53,10.04767,2.858579,4
54,10.04767,2.904401,4
55,9.840095,2.945788,4
56,9.840095,2.988034,4
57,9.840095,3.031114,4
58,9.840095,3.077917,4
59,9.840095,3.126721,4
60,9.840095,3.178059,4
61,9.840095,3.227951,4
62,9.840095,3.27015,4
63,9.840095,3.312633,4
64,9.840095,3.353818,4
65,9.688796,3.394098,4
66,9.688796,3.437768,4
67,9.676406,3.481388,4
68,9.621596,3.526485,4
69,9.189347,3.570219,4
70,9.189347,3.611503,4
71,9.189347,3.661302,4
72,7.22072,3.691679,4
1,12.95073,0.4878313,5
2,11.50576,0.5305395,5
3,11.50576,0.5714922,5
4,11.46916,0.6124703,5
5,11.46541,0.6529357,5
6,11.56076,0.6935215,5
7,11.44879,0.7435615,5
8,11.46372,0.7886675,5
9,11.10849,0.8337058,5
10,11.10849,0.8862051,5
11,11.10849,0.9345352,5
12,11.10849,0.9753551,5
13,11.10849,1.018035,5
14,11.10849,1.06361,5
15,11.10849,1.111981,5
16,10.81551,1.159443,5
17,10.81551,1.202245,5
18,10.81551,1.251333,5
19,10.81551,1.297342,5
20,10.81551,1.348382,5
21,10.81551,1.396111,5
22,10.14481,1.445384,5
23,10.14481,1.487989,5
24,10.14481,1.539394,5
25,10.14481,1.584545,5
26,10.14481,1.629948,5
27,10.14481,1.674826,5
28,10.14481,1.7176,5
29,10.14481,1.766369,5
30,10.14481,1.814836,5
31,10.14481,1.865003,5
32,10.14481,1.916268,5
33,10.14481,1.965959,5
34,10.14481,2.013165,5
35,10.14481,2.05738,5
36,9.492355,2.108614,5
37,9.492355,2.161338,5
38,9.492355,2.212539,5
39,9.492355,2.254214,5
40,9.492355,2.299615,5
41,9.492355,2.349472,5
42,9.492355,2.40022,5
43,9.492355,2.449584,5
44,9.492355,2.493308,5
45,8.798795,2.544917,5
46,8.784421,2.59009,5
47,8.798795,2.637153,5
48,8.798795,2.688089,5
49,8.784421,2.736187,5
50,8.79309,2.784431,5
51,8.798795,2.834636,5
52,8.697537,2.87473,5
53,8.697537,2.922247,5
54,8.630342,2.96871,5
55,8.662626,3.01145,5
56,8.662626,3.058133,5
57,8.476621,3.100623,5
58,8.476621,3.145156,5
59,8.476621,3.193145,5
60,8.399881,3.239206,5
61,8.350014,3.285439,5
62,8.350014,3.329635,5
63,8.350014,3.373178,5
64,8.350014,3.421355,5
65,8.170617,3.465221,5
66,8.170617,3.511584,5
67,8.170617,3.554276,5
68,8.170617,3.599907,5
69,8.170617,3.65177,5
70,8.130094,3.690971,5
71,8.130094,3.734548,5
72,6.502093,3.763855,5
1,12.89367,0.4828969,6
2,12.26417,0.5276185,6
3,12.19612,0.5796572,6
4,12.04982,0.63029,6
5,12.04982,0.6795825,6
6,12.04982,0.7245774,6
7,12.04982,0.7739804,6
8,12.04982,0.8210301,6
9,12.04982,0.8682037,6
10,12.04982,0.9142433,6
11,12.04982,0.9620801,6
12,12.04982,1.009594,6
13,12.04982,1.057108,6
14,12.04982,1.101809,6
15,12.04982,1.153977,6
16,12.04982,1.202736,6
17,12.04982,1.249389,6
18,11.72998,1.291976,6
19,11.72998,1.338399,6
20,11.72998,1.380201,6
21,11.72998,1.4242,6
22,11.72998,1.486097,6
23,11.72998,1.539219,6
24,11.72998,1.59116,6
25,11.72998,1.642193,6
26,11.72998,1.693911,6
27,11.72998,1.746446,6
28,11.72998,1.795634,6
29,11.72998,1.845631,6
30,11.72998,1.889184,6
31,11.72998,1.933613,6
32,11.72998,1.981627,6
33,11.72998,2.026171,6
34,11.54868,2.07326,6
35,11.54868,2.113972,6
36,11.54868,2.165198,6
37,11.54868,2.21313,6
38,11.54868,2.26259,6
39,11.54868,2.310702,6
40,11.54868,2.355901,6
41,11.54868,2.40474,6
42,11.1121,2.452364,6
43,11.1121,2.495487,6
44,10.48928,2.545962,6
45,10.48928,2.586263,6
46,10.48928,2.633329,6
47,10.27793,2.674068,6
48,10.27793,2.718687,6
49,10.27793,2.767591,6
50,10.27793,2.811432,6
51,10.27793,2.860788,6
52,10.27793,2.905921,6
53,10.27793,2.9585,6
54,10.27793,3.002857,6
55,10.27793,3.051418,6
56,10.27793,3.097065,6
57,10.09751,3.137814,6
58,10.09751,3.176601,6
59,10.09494,3.221281,6
60,10.09494,3.267731,6
61,10.09494,3.317408,6
62,10.09494,3.361039,6
63,10.09494,3.411363,6
64,10.09494,3.463752,6
65,10.08798,3.51491,6
66,10.08798,3.55953,6
67,10.08798,3.60666,6
68,10.08798,3.65334,6
69,10.08798,3.706118,6
70,10.08798,3.757535,6
71,10.08798,3.807626,6
72,6.864253,3.836277,6
1,14.62469,0.4999763,7
2,14.54698,0.551796,7
3,14.05338,0.603531,7
4,12.93772,0.6553378,7
5,12.79336,0.7049912,7
6,12.79336,0.7568861,7
7,12.664,0.8071769,7
8,12.7985,0.8517607,7
9,12.66335,0.9041324,7
10,11.21081,0.9655816,7
11,11.21081,1.010917,7
12,11.21081,1.063312,7
13,11.21081,1.109025,7
14,11.21081,1.15902,7
15,11.21081,1.211596,7
16,11.21081,1.263426,7
17,10.4995,1.311055,7
18,10.72292,1.360672,7
19,10.51049,1.408609,7
20,10.22232,1.45063,7
21,10.22232,1.496756,7
22,10.22232,1.54748,7
23,10.22232,1.592801,7
24,10.22232,1.637853,7
25,10.10221,1.68515,7
26,10.10221,1.730863,7
27,10.10221,1.778759,7
28,10.10221,1.825766,7
29,10.10221,1.869908,7
30,10.10221,1.916111,7
31,10.10221,1.962657,7
32,10.10221,2.013707,7
33,10.10221,2.054846,7
34,10.10221,2.105161,7
35,10.10221,2.149631,7
36,10.10221,2.190667,7
37,10.10221,2.231826,7
38,9.972404,2.27428,7
39,9.972404,2.32005,7
40,9.972404,2.363273,7
41,9.938796,2.406679,7
42,9.938796,2.446757,7
43,9.938796,2.487303,7
44,9.938796,2.539232,7
45,9.938796,2.594722,7
46,9.938796,2.648339,7
47,9.938796,2.702178,7
48,9.769102,2.755803,7
49,9.769102,2.809973,7
50,9.769102,2.862331,7
51,9.769102,2.913561,7
52,9.769102,2.961029,7
53,9.300504,3.010045,7
54,9.300504,3.059735,7
55,9.300504,3.103939,7
56,9.300504,3.152871,7
57,9.300504,3.203608,7
58,9.300504,3.249425,7
59,9.300504,3.297466,7
60,9.300504,3.347731,7
61,9.300504,3.398564,7
62,9.241727,3.444587,7
63,9.008294,3.4914,7
64,9.008294,3.541054,7
65,9.008294,3.586171,7
66,9.008294,3.634919,7
67,9.008294,3.685797,7
68,9.008294,3.730169,7
69,9.008294,3.781945,7
70,9.008294,3.828705,7
71,9.008294,3.874665,7
72,6.582117,3.902777,7
1,12.37766,0.4933513,8
2,12.37766,0.5338024,8
3,12.37766,0.5829013,8
4,12.37766,0.63578,8
5,12.37766,0.6853934,8
6,12.37766,0.7296965,8
7,12.37766,0.7762301,8
8,12.37766,0.8232336,8
9,12.21165,0.8871038,8
10,12.21165,0.940233,8
11,12.21165,0.9842877,8
12,12.21165,1.035442,8
13,11.95035,1.080067,8
14,11.95035,1.122263,8
15,11.32574,1.170032,8
16,11.32574,1.209197,8
17,11.32574,1.254711,8
18,11.32574,1.302919,8
19,11.32574,1.352031,8
20,11.32574,1.39732,8
21,10.63454,1.441626,8
22,10.63454,1.492785,8
23,10.63454,1.53696,8
24,10.63454,1.582636,8
25,10.63454,1.634999,8
26,10.63454,1.680981,8
27,10.63454,1.729986,8
28,10.63454,1.777268,8
29,10.59068,1.82668,8
30,10.29747,1.871716,8
31,10.29747,1.922013,8
32,10.29747,1.968179,8
33,9.950858,2.018115,8
34,9.950858,2.067241,8
35,9.947228,2.117355,8
36,9.634889,2.168651,8
37,9.634889,2.209793,8
38,9.634889,2.25762,8
39,9.634889,2.300792,8
40,9.634889,2.346322,8
41,9.634889,2.391531,8
42,9.333534,2.434439,8
43,9.333534,2.486046,8
44,9.333534,2.531329,8
45,9.333534,2.576055,8
46,9.333534,2.626747,8
47,9.333534,2.679467,8
48,9.333534,2.729686,8
49,9.333534,2.778474,8
50,9.333534,2.824536,8
51,9.333534,2.875721,8
52,9.295645,2.926532,8
53,9.295645,2.974807,8
54,8.73843,3.019037,8
55,8.73843,3.066415,8
56,8.73843,3.109241,8
57,8.73843,3.153143,8
58,8.734581,3.201253,8
59,8.734581,3.253232,8
60,8.734581,3.302813,8
61,8.734581,3.342912,8
62,8.734581,3.386939,8
63,8.715259,3.42834,8
64,8.035021,3.472886,8
65,8.035021,3.520916,8
66,8.035021,3.570457,8
67,8.035021,3.620648,8
68,8.035021,3.669338,8
69,8.035021,3.717603,8
70,8.035021,3.767784,8
71,8.035021,3.812087,8
72,6.239873,3.841665,8
1,13.77196,0.4692395,9
2,13.77196,0.5118954,9
3,12.60135,0.558445,9
4,12.60135,0.6066885,9
5,12.60135,0.6528351,9
6,12.60135,0.701328,9
7,12.60135,0.7509054,9
8,11.59531,0.7987538,9
9,11.59531,0.8467916,9
10,11.59531,0.897331,9
11,11.59531,0.9624209,9
12,11.59531,1.018505,9
13,11.59531,1.070601,9
14,11.59531,1.1137,9
15,11.59531,1.162614,9
16,11.59531,1.208584,9
17,10.462,1.255407,9
18,10.53922,1.302553,9
19,10.62064,1.353193,9
20,10.6007,1.395703,9
21,10.59943,1.438104,9
22,10.69725,1.489625,9
23,10.58305,1.535886,9
24,10.11035,1.584287,9
25,10.11035,1.63495,9
26,10.11035,1.679186,9
27,9.955766,1.725656,9
28,9.955766,1.777407,9
29,9.955766,1.818429,9
30,9.955766,1.869095,9
31,9.955766,1.913179,9
32,9.955766,1.965315,9
33,9.955766,2.013972,9
34,9.955766,2.059051,9
35,9.955766,2.102865,9
36,9.955766,2.146646,9
37,9.955766,2.19191,9
38,9.915482,2.241935,9
39,9.285276,2.288975,9
40,9.285276,2.336913,9
41,9.285276,2.380664,9
42,9.285276,2.423559,9
43,9.285276,2.468743,9
44,9.285276,2.511704,9
45,9.285276,2.559606,9
46,9.22322,2.60598,9
47,9.22322,2.648878,9
48,9.22322,2.69793,9
49,9.22322,2.746832,9
50,9.22322,2.79543,9
51,9.22322,2.840695,9
52,9.22322,2.880992,9
53,9.198214,2.924331,9
54,9.198214,2.968441,9
55,9.198214,3.01979,9
56,9.194006,3.070791,9
57,9.194006,3.110988,9
58,9.194006,3.157931,9
59,9.194006,3.209914,9
60,9.194006,3.255375,9
61,9.194006,3.306621,9
62,9.184145,3.355077,9
63,9.144503,3.400949,9
64,9.144503,3.441378,9
65,9.144503,3.487593,9
66,9.090346,3.539065,9
67,9.090346,3.593065,9
68,9.045001,3.646472,9
69,8.981906,3.698838,9
70,8.981906,3.749981,9
71,8.981906,3.79386,9
72,7.260799,3.827932,9
1,12.34454,0.4749924,10
2,12.34454,0.5213914,10
3,12.34454,0.5689147,10
4,12.34454,0.6200394,10
5,12.34454,0.6704433,10
6,12.34454,0.7221815,10
7,12.24596,0.7745202,10
8,12.24596,0.8231088,10
9,12.24596,0.8736879,10
10,12.0095,0.9283465,10
11,11.91669,0.9729181,10
12,11.91669,1.023374,10
13,11.91669,1.069566,10
14,11.73534,1.111804,10
15,11.64422,1.152138,10
16,11.64422,1.19419,10
17,10.51167,1.245246,10
18,10.51167,1.289135,10
19,10.53623,1.339653,10
20,10.53623,1.390458,10
21,10.53623,1.45324,10
22,10.55234,1.493391,10
23,10.53623,1.534008,10
24,10.47821,1.577561,10
25,10.73606,1.621327,10
26,10.57844,1.661253,10
27,10.37885,1.709279,10
28,10.37885,1.759006,10
29,10.37885,1.808086,10
30,10.37885,1.847624,10
31,10.37885,1.89527,10
32,10.37885,1.939834,10
33,10.37885,1.979876,10
34,10.37885,2.020089,10
35,10.37885,2.066348,10
36,10.19732,2.113387,10
37,10.19732,2.154955,10
38,10.19732,2.195458,10
39,10.19732,2.238701,10
40,10.19732,2.288799,10
41,10.19732,2.335842,10
42,9.996502,2.378278,10
43,9.996502,2.428069,10
44,9.740593,2.479091,10
45,9.740593,2.524764,10
46,9.740593,2.577218,10
47,9.705796,2.618985,10
48,9.705796,2.663895,10
49,9.705796,2.707428,10
50,9.705796,2.757805,10
51,9.705796,2.807934,10
52,9.705796,2.852358,10
53,9.705796,2.896946,10
54,9.705796,2.942902,10
55,9.404062,2.989181,10
56,9.404062,3.040465,10
57,9.191736,3.084518,10
58,9.191736,3.127599,10
59,9.191736,3.17674,10
60,9.191736,3.226537,10
61,9.191736,3.271742,10
62,9.191736,3.31734,10
63,9.191736,3.365546,10
64,9.191736,3.407917,10
65,9.191736,3.457455,10
66,9.191736,3.508558,10
67,9.191736,3.55501,10
68,9.191736,3.605841,10
69,9.191736,3.651108,10
70,9.191736,3.6958,10
71,9.191736,3.74395,10
72,7.079673,3.775831,10
1,13.88554,0.5169186,11
2,13.88554,0.5617956,11
3,13.88554,0.6128132,11
4,13.0152,0.6647848,11
5,12.97904,0.7125206,11
6,13.0152,0.7590713,11
7,11.70398,0.8089655,11
8,11.70398,0.8540716,11
9,11.70398,0.9169789,11
