name,algo,dataset,consideredLength,remaining_points,num_runs,num_iterations
AMCROTSS_2020-3-13-12-12-6,AMCROTSS,HandOutlines,20000,501,100,70000
AMCROTSS_2020-3-13-23-13-27,AMCROTSS,Donoho-Johnstone,2048,52,100,7168
AMCROTSS_2020-3-13-23-20-37,AMCROTSS,Ham,10000,251,100,35000
AMCROTSS_2020-3-14-1-46-58,AMCROTSS,MALLAT_,8192,206,100,28672
AMCROTSS_2020-3-14-16-54-2,AMCROTSS,Rock,10000,251,100,35000
AMCROTSS_2020-3-14-21-42-44,AMCROTSS,StarLightCurves,20000,501,100,70000
AMCROTSS_2020-3-14-5-52-32,AMCROTSS,Phoneme,20000,501,100,70000
AMCROTSS_2020-3-15-12-26-41,AMCROTSS,subject103_6,10000,251,100,35000
AMCROTSS_2020-3-15-9-0-49,AMCROTSS,subject103_5,10000,251,100,35000
DBBePSOTSS_2020-3-25-19-12-22,DBBePSOTSS,HandOutlines,20000,501,100,70000
DBBePSOTSS_2020-3-26-13-43-50,DBBePSOTSS,Phoneme,20000,501,100,70000
DBBePSOTSS_2020-3-26-6-48-57,DBBePSOTSS,Donoho-Johnstone,2048,52,100,7168
DBBePSOTSS_2020-3-26-6-55-32,DBBePSOTSS,Ham,10000,251,100,35000
DBBePSOTSS_2020-3-26-9-29-13,DBBePSOTSS,MALLAT_,8192,206,100,28672
DBBePSOTSS_2020-3-27-1-33-0,DBBePSOTSS,Rock,10000,251,100,35000
DBBePSOTSS_2020-3-27-18-7-45,DBBePSOTSS,subject103_5,10000,251,100,35000
DBBePSOTSS_2020-3-27-20-39-35,DBBePSOTSS,subject103_6,10000,251,100,35000
DBBePSOTSS_2020-3-27-6-41-41,DBBePSOTSS,StarLightCurves,20000,501,100,70000
