generation,fitness_std,geno_diversity,best_valid_numberOfPoints,best_valid_mse,best_valid_fitness,best_overall_numberOfPoints,best_overall_mse,best_overall_fitness,avg_numberOfPoints,avg_mse,avg_fitness,number_valid_individuals,total_time,run_id
0,NaN,1.2456499999999997,251,0.0749624941689515,Inf,251,0.5660933285500139,Inf,251.13,0.6026617117693671,Inf,199,0.1623887,1
1,NaN,1.2456249999999995,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,251.125,0.4369195549205813,Inf,199,0.2726357,1
2,NaN,1.2455749999999994,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,251.115,0.396265314210748,Inf,199,0.36903199999999997,1
3,NaN,1.2455249999999995,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,251.105,0.3626671348576036,Inf,199,0.4651471,1
4,NaN,1.2455499999999995,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,251.11,0.338687104796533,Inf,199,0.5744277999999999,1
5,NaN,1.2456249999999995,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,251.125,0.3236680963969888,Inf,199,0.678478599,1
6,NaN,1.2455249999999995,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,251.105,0.3077424374360939,Inf,199,0.781536699,1
7,NaN,1.2455749999999994,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,251.115,0.29239557843102054,Inf,199,0.883525999,1
8,NaN,1.2455999999999998,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,251.12,0.2774618464502727,Inf,199,0.9871264989999999,1
9,NaN,1.2456249999999998,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,251.125,0.26252729493187416,Inf,199,1.089201199,1
10,NaN,1.2443999999999997,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,251.12,0.24735945651852848,Inf,199,1.1962376989999999,1
11,NaN,1.2372499999999997,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,251.1,0.22957172737150955,Inf,199,1.309505698,1
12,NaN,1.2006249999999996,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,251.115,0.21168001002256773,Inf,199,1.431586498,1
13,NaN,1.1752499999999997,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,251.1,0.19629000909650507,Inf,199,1.5342425979999998,1
14,NaN,1.1558499999999996,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,251.1,0.182739015181341,Inf,199,1.6390138979999997,1
15,NaN,1.1049249999999997,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,251.105,0.17065497538862967,Inf,199,1.7358035989999998,1
16,NaN,1.070825,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,251.095,0.16222027059948832,Inf,199,1.8407847989999997,1
17,NaN,1.0296749999999997,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,251.105,0.15395370767273475,Inf,199,1.9474956989999996,1
18,NaN,0.9949499999999999,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,251.1,0.14852449221303574,Inf,199,2.0508403989999997,1
19,NaN,0.9733249999999998,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,251.105,0.1431727638228042,Inf,199,2.149390499,1
20,NaN,0.9672999999999999,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,251.11,0.13831892320239605,Inf,199,2.268497199,1
21,NaN,0.94595,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.97,0.13361548800124562,Inf,200,2.385329999,1
22,NaN,0.9279749999999999,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.955,0.1296643321128241,Inf,200,2.497376398,1
23,NaN,0.9194,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.97,0.12611757954203162,Inf,200,2.601202798,1
24,NaN,0.9225249999999999,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.975,0.12354344377594263,Inf,200,2.712248498,1
25,NaN,0.9295249999999998,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.955,0.12042085569788812,Inf,200,2.818750299,1
26,NaN,0.9206999999999997,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.97,0.11718667616833747,Inf,200,2.918960099,1
27,NaN,0.9011999999999999,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.98,0.11412135097940038,Inf,200,3.0139739,1
28,NaN,0.8931999999999999,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.98,0.11167022766775749,Inf,200,3.1202033989999998,1
29,NaN,0.85395,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.98,0.1091863903469178,Inf,200,3.2349850989999998,1
30,NaN,0.8314,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.99,0.10694470629871047,Inf,200,3.329599198,1
31,NaN,0.7982749999999998,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.985,0.10472498445919039,Inf,200,3.426452998,1
32,NaN,0.77875,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.98,0.1026215158053488,Inf,200,3.525099397,1
33,NaN,0.7485999999999998,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.98,0.10024257861488034,Inf,200,3.630613497,1
34,NaN,0.7298749999999999,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.985,0.09835221993673131,Inf,200,3.7376072970000003,1
35,NaN,0.7058,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.98,0.09695613698132866,Inf,200,3.850239397,1
36,NaN,0.68175,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.98,0.09520541164032792,Inf,200,3.956261098,1
37,NaN,0.6714249999999998,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.985,0.09370971725627397,Inf,200,4.052596898,1
38,NaN,0.6535249999999999,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.985,0.09254945888494745,Inf,200,4.166253198,1
39,NaN,0.632225,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.985,0.09158375737601347,Inf,200,4.288380198,1
40,NaN,0.6241,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.98,0.09055526932000114,Inf,200,4.403481198,1
41,NaN,0.6117250000000001,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.985,0.08968506552929209,Inf,200,4.5069901969999995,1
42,NaN,0.5927,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.98,0.08865534560264811,Inf,200,4.610664998,1
43,NaN,0.5789,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.98,0.08783116512703215,Inf,200,4.725565399,1
44,NaN,0.5733,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.99,0.08715390554329132,Inf,200,4.826072699,1
45,NaN,0.56875,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.99,0.08656963265721053,Inf,200,4.9252394,1
46,NaN,0.55805,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.99,0.08586322672347953,Inf,200,5.031632,1
47,NaN,0.5566,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,251.0,0.08519272351999575,Inf,200,5.134930201,1
48,NaN,0.543025,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.995,0.08463386628509788,Inf,200,5.230137402,1
49,NaN,0.521225,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.995,0.08415779582253201,Inf,200,5.330643702000001,1
50,NaN,0.5138750000000001,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.995,0.08370977659964735,Inf,200,5.432905003000001,1
51,NaN,0.5065500000000001,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,251.0,0.08338726589979586,Inf,200,5.536634704000001,1
52,NaN,0.500375,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.995,0.08306721984001747,Inf,200,5.638121204000001,1
53,NaN,0.49570000000000003,251,0.0749624941689515,Inf,251,0.0749624941689515,Inf,250.99,0.08270218375806808,Inf,200,5.744023704000001,1
