name,dataset,consideredLength,remaining_points,pop_size,offspring_size,loop,iterations,runs,mean_best_mse,description
experiment2020-03-16_16-59-22-138,Donoho-Johnstone,2048,52,200,200,false,36,100,6.358242976635713,version: 02.07.2019  the initial population contains no special Individuals
experiment2020-03-16_17-01-04-014,MALLAT_,8192,206,200,200,false,144,100,0.01816653366423396,version: 02.07.2019  the initial population contains no special Individuals
experiment2020-03-16_17-22-48-431,subject103_5,10000,251,200,200,false,175,100,0.10643730587169799,version: 02.07.2019  the initial population contains no special Individuals
experiment2020-03-16_17-55-07-852,subject103_6,10000,251,200,200,false,175,100,0.3699440190362362,version: 02.07.2019  the initial population contains no special Individuals
experiment2020-03-16_18-28-00-664,Ham,10000,251,200,200,false,175,100,0.3754985461951116,version: 02.07.2019  the initial population contains no special Individuals
experiment2020-03-16_19-01-03-075,Rock,10000,251,200,200,false,175,100,0.013533717855210204,version: 02.07.2019  the initial population contains no special Individuals
experiment2020-03-16_19-33-38-640,HandOutlines,10000,251,200,200,false,175,100,7.655798364320526e-5,version: 02.07.2019  the initial population contains no special Individuals
experiment2020-03-16_20-07-50-369,HandOutlines,20000,501,200,200,false,350,100,5.7262948218857086e-5,version: 02.07.2019  the initial population contains no special Individuals
experiment2020-03-16_22-19-33-669,Phoneme,10000,251,200,200,false,175,100,0.7205974038125471,version: 02.07.2019  the initial population contains no special Individuals
experiment2020-03-17_05-06-20-088,Donoho-Johnstone,2048,52,200,200,true,36,100,5.219349443309335,version: 02.07.2019  the initial population contains no special Individuals
experiment2020-03-17_05-10-06-943,MALLAT_,8192,206,200,200,true,144,100,0.005958944016782918,version: 02.07.2019  the initial population contains no special Individuals
experiment2020-03-17_06-04-08-269,subject103_5,10000,251,200,200,true,175,100,0.0649427639447758,version: 02.07.2019  the initial population contains no special Individuals
experiment2020-03-17_07-25-16-994,subject103_6,10000,251,200,200,true,175,100,0.2753406706902061,version: 02.07.2019  the initial population contains no special Individuals
experiment2020-03-17_08-49-07-182,Ham,10000,251,200,200,true,175,100,0.22859829139427812,version: 02.07.2019  the initial population contains no special Individuals
experiment2020-03-17_10-11-04-597,Rock,10000,251,200,200,true,175,100,0.007932086023503586,version: 02.07.2019  the initial population contains no special Individuals
experiment2020-03-18_10-13-47-970,HandOutlines,10000,251,200,200,true,175,100,3.359239351048568e-5,version: 02.07.2019  the initial population contains no special Individuals
experiment2020-03-18_11-35-40-290,HandOutlines,20000,501,200,200,true,350,100,2.572924442999716e-5,version: 02.07.2019  the initial population contains no special Individuals
experiment2020-03-18_16-59-27-915,Phoneme,10000,251,200,200,true,175,100,0.6185571939915782,version: 02.07.2019  the initial population contains no special Individuals
experiment2020-03-18_18-30-15-337,Phoneme,20000,501,200,200,true,350,100,0.39910356136978015,version: 02.07.2019  the initial population contains no special Individuals
experiment2020-03-19_00-15-00-888,StarLightCurves,10000,251,200,200,true,175,100,0.00020653757506743827,version: 02.07.2019  the initial population contains no special Individuals
experiment2020-03-19_01-41-22-644,StarLightCurves,20000,501,200,200,true,350,100,0.00026468044033847043,version: 02.07.2019  the initial population contains no special Individuals
experiment2020-03-19_10-28-07-168,Donoho-Johnstone,2048,52,200,200,true,36,100,4.95465820059807,version: 02.07.2019  the initial population contains special Individuals: visvalingam_squarederror  swing_filter_number  ramer_douglas_peucker 
