dataset,length,remaining_points,mse,time,mse_opys,mses_10loops
Ham,10000,100,0.5224682117653812,15.838925391,0.5064804140208817,"[0.501753, 0.498042, 0.497223, 0.496957, 0.496754, 0.496707, 0.496698, 0.496698, 0.496698, 0.496698]"
Rock,10000,100,0.02735039950928995,15.772067398,0.024272732340415767,"[0.0233609, 0.0224058, 0.0222104, 0.0221561, 0.0221442, 0.0221377, 0.0221357, 0.0221345, 0.0221324, 0.022131]"
Ham,20000,200,0.512361315799192,126.393429465,0.49942842434969964,"[0.493586, 0.490299, 0.489358, 0.488922, 0.488751, 0.488684, 0.488672, 0.488672, 0.488672, 0.488672]"
Rock,20000,200,0.2699271716731074,126.506274724,0.1963767045456138,"[0.194703, 0.182399, 0.180887, 0.180594, 0.180547, 0.180535, 0.180532, 0.180531, 0.180531, 0.180531]"
Ham,30000,300,0.49668350597922545,427.293088741,0.48274970111805765,"[0.476474, 0.472808, 0.471989, 0.471657, 0.471538, 0.471493, 0.471485, 0.471485, 0.471485, 0.471485]"
Rock,30000,300,0.7256659578488684,426.829831942,0.5571479919174845,"[0.532431, 0.501964, 0.498579, 0.497661, 0.497458, 0.497389, 0.497367, 0.497355, 0.497348, 0.497337]"
Ham,40000,400,0.4993581927747633,1012.176604947,0.48725051371850914,"[0.480733, 0.476678, 0.475645, 0.475304, 0.475204, 0.47517, 0.475164, 0.475164, 0.475164, 0.475164]"
Rock,40000,400,0.9318972035936367,1012.145175349,0.7663568406591147,"[0.742412, 0.711573, 0.707636, 0.706711, 0.706523, 0.706459, 0.706438, 0.706428, 0.706422, 0.706414]"
Ham,50000,500,0.5005584427311078,1977.363116577,0.4879729495965681,"[0.48127, 0.477076, 0.475899, 0.475516, 0.475388, 0.475338, 0.475329, 0.475329, 0.475329, 0.475329]"
Rock,50000,500,0.7371085187503624,1977.43886046,0.5900443979723231,"[0.568362, 0.540059, 0.536666, 0.535792, 0.535565, 0.53547, 0.535444, 0.535436, 0.535431, 0.535425]"
Ham,60000,600,0.5071585194298736,3417.193541039,0.4942781905916995,"[0.488314, 0.484308, 0.483245, 0.482906, 0.482795, 0.482753, 0.482746, 0.482745, 0.482745, 0.482745]"
Rock,60000,600,0.5409928001053138,3418.714837952,0.42336561454004307,"[0.405802, 0.382516, 0.37976, 0.379077, 0.378901, 0.378817, 0.378783, 0.378773, 0.37877, 0.378764]"
Ham,70000,700,0.5045719054418956,5428.546780448,0.4918360550379466,"[0.485488, 0.481571, 0.480421, 0.480039, 0.479937, 0.479894, 0.479886, 0.479886, 0.479886, 0.479886]"
Rock,70000,700,0.3932472396930558,5431.28318238,0.29845115055492294,"[0.289151, 0.271245, 0.269055, 0.268454, 0.268311, 0.268273, 0.268259, 0.268253, 0.268248, 0.268235]"
Ham,80000,800,0.4998149575190123,8101.212117391,0.48634581569775565,"[0.480041, 0.475952, 0.47486, 0.474518, 0.474425, 0.47439, 0.474384, 0.474384, 0.474384, 0.474384]"
Rock,80000,800,0.3087025899025862,8106.742083652,0.23138835376487896,"[0.223839, 0.209898, 0.208229, 0.207838, 0.207754, 0.207726, 0.207717, 0.207712, 0.207708, 0.207696]"
Ham,90000,900,0.4937987258147232,11540.543549332,0.47941403808692873,"[0.47307, 0.468786, 0.467717, 0.46739, 0.467296, 0.467265, 0.46726, 0.46726, 0.46726, 0.46726]"
Rock,90000,900,0.2597868632463593,11538.54017963,0.19521788528643785,"[0.190313, 0.179194, 0.177758, 0.177343, 0.177239, 0.177216, 0.177209, 0.177205, 0.177201, 0.177191]"
subject103_5,10000,100,0.13038693174413854,16.028185651,0.12582160773308776,"[0.124746, 0.123242, 0.122518, 0.122294, 0.122279, 0.122279, 0.122279, 0.122279, 0.122279, 0.122279]"
subject103_6,10000,100,0.4041203888541329,15.846885127,0.39023816674520406,"[0.386847, 0.385246, 0.385101, 0.385072, 0.385009, 0.384996, 0.384996, 0.384996, 0.384996, 0.384996]"
subject103_5,20000,200,0.30476566246262143,126.439623969,0.29219500702819345,"[0.287374, 0.284739, 0.284374, 0.284271, 0.284208, 0.284199, 0.284198, 0.284198, 0.284198, 0.284198]"
subject103_6,20000,200,0.6313378408931029,126.45287469,0.6067042921116966,"[0.601285, 0.596183, 0.595498, 0.595448, 0.595443, 0.595443, 0.595443, 0.595443, 0.595443, 0.595443]"
subject103_5,30000,300,0.13090778410550927,428.66399118,0.12305897258063471,"[0.121095, 0.119476, 0.119101, 0.118963, 0.118951, 0.118951, 0.118951, 0.118951, 0.118951, 0.118951]"
subject103_6,30000,300,0.30046821332056806,429.072155715,0.2861486224355476,"[0.282283, 0.279868, 0.279498, 0.279436, 0.279408, 0.279389, 0.279382, 0.279381, 0.279381, 0.279381]"
subject103_5,40000,400,0.12789470369703296,1015.5266049,0.11984889931092546,"[0.118326, 0.116652, 0.116324, 0.116215, 0.116205, 0.116205, 0.116205, 0.116204, 0.116204, 0.116204]"
subject103_6,40000,400,0.28545938744290317,1016.975017235,0.27109762097061196,"[0.268264, 0.265722, 0.265303, 0.265201, 0.265144, 0.265129, 0.265124, 0.265124, 0.265124, 0.265124]"
subject103_5,50000,500,0.17092315385725518,1978.215035084,0.1612761402882476,"[0.15927, 0.157343, 0.157076, 0.157003, 0.156974, 0.15697, 0.15697, 0.15697, 0.15697, 0.15697]"
subject103_6,50000,500,0.33654809160884613,1980.284459171,0.3211558649456313,"[0.317161, 0.314282, 0.313869, 0.313769, 0.313724, 0.31371, 0.313706, 0.313706, 0.313706, 0.313706]"
subject103_5,60000,600,0.14373910090483255,3414.212611105,0.13545293164303973,"[0.133623, 0.132013, 0.131765, 0.131667, 0.131653, 0.131653, 0.131653, 0.131653, 0.131653, 0.131653]"
subject103_6,60000,600,0.31226240087462653,3418.025575606,0.2959382500919581,"[0.292953, 0.290198, 0.289802, 0.289722, 0.289683, 0.289673, 0.289669, 0.289669, 0.289669, 0.289669]"
subject103_5,70000,700,0.1075795427138875,5420.808519791,0.1007360193762862,"[0.0994772, 0.0981047, 0.0978458, 0.0977747, 0.097769, 0.0977684, 0.097768, 0.0977679, 0.0977679, 0.0977679]"
subject103_6,70000,700,0.24525889963752384,5425.928591433,0.23398192936679033,"[0.231254, 0.22929, 0.229052, 0.229, 0.228979, 0.228971, 0.228968, 0.228968, 0.228968, 0.228968]"
subject103_5,80000,800,0.09395925385456524,8096.521217995,0.08779643429086682,"[0.0866033, 0.0853136, 0.0850819, 0.0850091, 0.0849837, 0.0849796, 0.0849791, 0.084979, 0.084979, 0.084979]"
subject103_6,80000,800,0.22894728872390846,8096.873129284,0.21812480831451353,"[0.215939, 0.213948, 0.213656, 0.213579, 0.213567, 0.213561, 0.213558, 0.213558, 0.213558, 0.213558]"
subject103_5,90000,900,0.08187028375765551,11524.990849769,0.07652272466512462,"[0.0754634, 0.0743513, 0.0741509, 0.0740881, 0.0740656, 0.0740594, 0.0740587, 0.0740586, 0.0740586, 0.0740586]"
subject103_6,90000,900,0.20384185584053086,11572.332964946,0.19446274600975672,"[0.192308, 0.190457, 0.190199, 0.190139, 0.19013, 0.190126, 0.190124, 0.190124, 0.190124, 0.190124]"
subject103_5,100000,1000,0.08733074714958824,15851.445405212,0.08172913085158752,"[0.0805413, 0.0794208, 0.0792314, 0.0791718, 0.0791501, 0.0791461, 0.0791445, 0.0791444, 0.0791444, 0.0791444]"
Rock,100000,1000,0.21665877180389898,15800.039934441,0.1602153176567857,"[0.15593, 0.146198, 0.144812, 0.144453, 0.144367, 0.14435, 0.144345, 0.144343, 0.144342, 0.144342]"
subject103_6,100000,1000,0.22264582635129823,15868.673752015,0.2122958828652428,"[0.210062, 0.208126, 0.207874, 0.207816, 0.207807, 0.207803, 0.207801, 0.207801, 0.207801, 0.207801]"
