dataset,length,remaining_points,mse,time
Donoho-Johnstone,2048,52,4.918792787516198,0.590584799
MALLAT_,8192,206,0.005145870556320457,37.5424209
subject103_5,10000,251,0.05345312285181128,68.1589477
subject103_6,10000,251,0.22538313563199927,68.3836556
Ham,10000,251,0.19062854074806443,67.9250385
Rock,10000,251,0.0065313873886977195,67.8829518
HandOutlines,10000,251,2.9208191568039276e-5,67.9869179
HandOutlines,20000,501,2.2233501842085495e-5,540.850377201
Phoneme,10000,251,0.5674257874164061,67.494953899
Phoneme,20000,501,0.35691075791033117,547.8389583
StarLightCurves,10000,251,0.00026581686589914236,67.821636599
StarLightCurves,20000,501,0.0003638989078088428,546.4801274
Donoho-Johnstone,2048,52,4.918792787516198,0.595098101
MALLAT_,8192,206,0.005145870556320457,37.9992231
subject103_5,10000,251,0.05345312285181128,68.769456499
subject103_6,10000,251,0.22538313563199927,69.0979607
Ham,10000,251,0.19062854074806443,68.744458699
Rock,10000,251,0.0065313873886977195,69.0406411
HandOutlines,10000,251,2.9208191568039276e-5,68.956851301
HandOutlines,20000,501,2.2233501842085495e-5,550.5038518
Phoneme,10000,251,0.5674257874164061,68.2843617
Phoneme,20000,501,0.35691075791033117,547.407143199
StarLightCurves,10000,251,0.00026581686589914236,68.663631799
StarLightCurves,20000,501,0.0003638989078088428,548.096181599
Donoho-Johnstone,2048,52,4.918792787516198,0.5879096
MALLAT_,8192,206,0.005145870556320457,38.0836705
subject103_5,10000,251,0.05345312285181128,69.0923497
subject103_6,10000,251,0.22538313563199927,69.1331764
Ham,10000,251,0.19062854074806443,68.9080422
Rock,10000,251,0.0065313873886977195,68.6913889
HandOutlines,10000,251,2.9208191568039276e-5,68.3529033
HandOutlines,20000,501,2.2233501842085495e-5,547.675266
Phoneme,10000,251,0.5674257874164061,68.395773599
Phoneme,20000,501,0.35691075791033117,545.6281289
StarLightCurves,10000,251,0.00026581686589914236,68.494778899
StarLightCurves,20000,501,0.0003638989078088428,548.598218001
Donoho-Johnstone,2048,52,4.918792787516198,0.5940858
MALLAT_,8192,206,0.005145870556320457,37.7167063
subject103_5,10000,251,0.05345312285181128,68.666505701
subject103_6,10000,251,0.22538313563199927,68.627861
Ham,10000,251,0.19062854074806443,68.6351226
Rock,10000,251,0.0065313873886977195,68.5448181
HandOutlines,10000,251,2.9208191568039276e-5,68.4699761
HandOutlines,20000,501,2.2233501842085495e-5,546.961522599
Phoneme,10000,251,0.5674257874164061,68.6314818
Phoneme,20000,501,0.35691075791033117,547.0300445
StarLightCurves,10000,251,0.00026581686589914236,68.2360816
StarLightCurves,20000,501,0.0003638989078088428,546.2905302
Donoho-Johnstone,2048,52,4.918792787516198,0.593063999
MALLAT_,8192,206,0.005145870556320457,37.795788099
subject103_5,10000,251,0.05345312285181128,69.3081857
