name,algo,dataset,consideredLength,remaining_points,num_runs,num_iterations
ASCROTSS_2019-12-21-23-2-51,ASCROTSS,HandOutlines,10000,251,20,70000
ASCROTSS_2019-12-22-0-27-21,ASCROTSS,HandOutlines,15000,376,20,105000
ASCROTSS_2019-12-22-15-54-11,ASCROTSS,Phoneme,15000,376,20,105000
ASCROTSS_2019-12-22-15-8-58,ASCROTSS,Phoneme,10000,251,20,70000
ASCROTSS_2019-12-22-17-46-10,ASCROTSS,Phoneme,20000,501,20,140000
ASCROTSS_2019-12-22-2-57-38,ASCROTSS,HandOutlines,20000,501,20,140000
ASCROTSS_2019-12-22-21-16-37,ASCROTSS,Phoneme,25000,626,20,175000
ASCROTSS_2020-1-5-23-38-20,ASCROTSS,HandOutlines,25000,626,17,750000
DBBePSOTSS_2019-12-15-14-59-29,DBBePSOTSS,Phoneme,25000,626,20,175000
DBBePSOTSS_2019-12-15-4-54-41,DBBePSOTSS,Phoneme,10000,251,20,70000
DBBePSOTSS_2019-12-15-6-12-18,DBBePSOTSS,Phoneme,15000,376,20,105000
DBBePSOTSS_2019-12-15-9-14-3,DBBePSOTSS,Phoneme,20000,501,20,140000
DBBePSOTSS_2019-12-17-12-7-32,DBBePSOTSS,HandOutlines,20000,501,20,140000
DBBePSOTSS_2019-12-17-9-9-45,DBBePSOTSS,HandOutlines,15000,376,20,105000
DBBePSOTSS_2020-1-2-0-52-36,DBBePSOTSS,HandOutlines,10000,251,20,300000
DBBePSOTSS_2020-1-2-6-18-31,DBBePSOTSS,HandOutlines,25000,626,20,750000
